,Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
199,Crispy Brows,False,False,False,False,0,0,0,0,0
200,Crystal Body Deodorant,True,False,False,False,0,0,0,0,0
201,DEMES/Demes Natural Products,True,False,False,False,0,0,0,0,0
202,DN-UNIK,True,False,False,False,0,0,0,0,0
203,DSMD Shop,False,False,False,True,0,0,0,0,0
204,DUO,False,False,False,False,0,1,0,0,0
205,Dahliana Naturals,True,False,False,False,0,0,0,0,0
206,Daisy Blue Naturals,False,False,False,False,0,0,0,0,0
207,DeVita,True,False,False,False,0,0,0,0,0
208,Dear Dahlia,True,False,False,False,0,0,0,0,0
209,Dear Self,False,False,False,False,0,0,0,0,0
210,Deborah Lippmann,False,False,False,False,0,1,0,0,1
211,Deciem,False,False,False,False,0,0,0,0,0
212,Deco Miami,True,False,False,False,0,0,0,0,0
213,DefineMe Fragrance,True,False,False,False,1,0,0,0,0
214,Dehiya,True,False,False,True,0,0,0,0,0
215,Delectable,True,False,False,False,0,0,0,0,0
216,Delight Beauty,True,False,False,False,0,0,0,0,0
217,DermOrganic,True,False,False,False,0,0,0,0,0
218,Derma E,True,False,False,False,1,0,0,0,0
219,Dermablend,False,False,True,False,1,0,0,0,0
220,Dermablend Professional,False,False,True,False,0,0,0,0,0
221,Dermalogica,False,False,True,False,1,1,0,0,1
222,Desert Essence,False,False,False,False,0,0,0,0,0
223,DevaCurl,False,False,True,False,1,1,0,0,1
224,Dickinson Brands,False,False,False,False,0,0,0,0,0
225,Dimension Nails,True,False,False,True,0,0,0,0,0
226,Dirt Don’t Hurt Me,True,False,False,True,0,0,0,0,0
227,Doctor Rogers RESTORE,True,False,False,False,0,0,0,0,0
228,Dose of Colors,False,False,False,False,0,0,1,0,0
229,Dr. Bronner’s,False,False,False,False,0,0,0,0,0
230,Dr. Hauschka,False,False,False,False,0,0,0,0,0
231,Dr. Roebuck’s,False,False,False,False,1,1,0,1,0
